,总价,单价,户型,建筑面积,朝向,装修,楼层,小区
1591,1090万,"131,105元/平",2室1厅 , 83.14平米 , 东 南 , 其他 , 底层(共16层) ,厂洼西街6号院 
1592,596万,"105,487元/平",2室1厅 , 56.5平米 , 南 北 , 其他 , 顶层(共5层) ,万寿路24号院 
1593,650万,"85,135元/平",2室1厅 , 76.35平米 , 南 北 , 简装 , 中楼层(共6层) ,永泰西里 
1594,850万,"87,629元/平",3室1厅 , 97平米 , 南 西 北 , 精装 , 低楼层(共16层)  ,八里庄北里 
1595,650万,"106,908元/平",2室1厅 , 60.8平米 , 南 北 , 简装 , 中楼层(共6层) ,大柳树13号院 
1596,449万,"71,157元/平",2室1厅 , 63.1平米 , 东 西 , 精装 , 中楼层(共6层) ,建材城西二里 
1597,1410万,"99,380元/平",3室2厅 , 141.88平米 , 南 北 , 精装 , 中楼层(共7层)  ,天秀花园荷塘月舍 
1598,740万,"100,955元/平",4室1厅 , 73.3平米 , 南 北 , 其他 , 底层(共6层)  ,索家坟 
1599,590万,"76,208元/平",2室1厅 , 77.42平米 , 南 北 , 简装 , 底层(共7层) ,沁春家园 
1600,615万,"79,767元/平",2室1厅 , 77.1平米 , 南 北 , 精装 , 中楼层(共9层)  ,宝盛里 
1601,620万,"68,073元/平",2室2厅 , 91.08平米 , 东 西 , 简装 , 中楼层(共9层) ,中国铁建环保嘉苑 
1602,670万,"116,320元/平",2室1厅 , 57.6平米 , 东 西 , 简装 , 高楼层(共6层) ,复兴路61号院 
1603,630万,"109,948元/平",2室1厅 , 57.3平米 , 南 北 , 精装 , 5层 ,志强北园 
1604,1150万,"81,124元/平",3室2厅 , 141.76平米 , 南 北 , 简装 , 顶层(共4层) ,领秀硅谷 
1605,688万,"106,502元/平",2室1厅 , 64.6平米 , 东 南 西 , 其他 , 顶层(共6层)  ,皂君庙乙2号院 
1606,1468万,"93,018元/平",3室2厅 , 157.82平米 , 南 北 , 精装 , 顶层(共9层) ,博雅西园 
1607,600万,"111,525元/平",2室1厅 , 53.8平米 , 南 北 , 简装 , 顶层(共6层)  ,首师大附中宿舍楼 
1608,1150万,"87,653元/平",3室2厅 , 131.2平米 , 东南 西北 , 精装 , 低楼层(共21层) ,西晴公寓 
1609,860万,"109,555元/平",3室1厅 , 78.5平米 , 南 北 , 简装 , 高楼层(共6层)  ,石油大院 
1610,645万,"92,025元/平",1室1厅 , 70.09平米 , 南 北 , 简装 , 高楼层(共6层) ,志新西路七号院 
1611,1398万,"147,625元/平",3室1厅 , 94.7平米 , 东 西 , 精装 , 底层(共11层) ,橡树湾一期 
1612,920万,"141,779元/平",2室1厅 , 64.89平米 , 北 , 其他 , 低楼层(共18层) ,怡秀园小区 
1613,2420万,"144,495元/平",3室2厅 , 167.48平米 , 南 北 , 精装 , 中楼层(共9层) ,紫金长安 
1614,990万,"88,710元/平",3室1厅 , 111.6平米 , 东南 西北 , 简装 , 高楼层(共18层) ,学知园 
1615,720万,"93,824元/平",2室1厅 , 76.74平米 , 南 北 , 简装 , 底层(共6层) ,秋露园 
1616,736万,"97,355元/平",2室1厅 , 75.6平米 , 西南 , 精装 , 高楼层(共20层)  ,普惠南里 
1617,675万,"103,528元/平",2室1厅 , 65.2平米 , 东南 , 简装 , 中楼层(共20层) ,普惠南里 
1618,1630万,"166,412元/平",2室1厅 , 97.95平米 , 东 , 精装 , 低楼层(共16层) ,碧水云天 
1619,518万,"96,104元/平",2室1厅 , 53.9平米 , 南 北 , 精装 , 顶层(共5层) ,西木小区 
1620,675万,"103,528元/平",2室1厅 , 65.2平米 , 东南 , 简装 , 中楼层(共20层) ,普惠南里 
1621,1630万,"166,412元/平",2室1厅 , 97.95平米 , 东 , 精装 , 低楼层(共16层) ,碧水云天 
1622,495万,"108,792元/平",1室1厅 , 45.5平米 , 东 , 精装 , 16层  ,学院南路乙10号院 
1623,720万,"116,505元/平",2室1厅 , 61.8平米 , 南 , 其他 , 低楼层(共18层) ,西翠路12号院 
1624,650万,"115,556元/平",2室1厅 , 56.25平米 , 南 西 北 , 精装 , 中楼层(共5层)  ,花园村小区 
1625,425万,"63,824元/平",1室1厅 , 66.59平米 , 南 北 , 精装 , 中楼层(共4层) ,门头馨村南区 
1626,800万,"107,817元/平",2室2厅 , 74.2平米 , 东 西 , 精装 , 中楼层(共13层) ,志新北里 
1627,745万,"103,430元/平",2室1厅 , 72.03平米 , 南 北 , 简装 , 中楼层(共6层) ,北太平路3号院 
1628,628万,"109,599元/平",2室1厅 , 57.3平米 , 南 , 简装 , 中楼层(共6层)  ,西王庄小区 
1629,1288万,"92,047元/平",3室1厅 , 139.93平米 , 南 北 , 精装 , 高楼层(共9层)  ,今日家园 
1630,710万,"69,903元/平",2室1厅 , 101.57平米 , 南 北 , 精装 , 顶层(共6层)  ,宝盛北里 
1631,558万,"103,718元/平",2室1厅 , 53.8平米 , 南 北 , 精装 , 顶层(共6层) ,上园村 
1632,778万,"130,911元/平",2室1厅 , 59.43平米 , 东南 , 其他 , 低楼层(共16层)  ,双榆树西里 
1633,630万,"99,527元/平",3室1厅 , 63.3平米 , 东 西北 , 简装 , 14层  ,文慧园北路26号院 
1634,580万,"83,454元/平",3室1厅 , 69.5平米 , 南 北 , 精装 , 顶层(共5层)  ,小营东路5号院 
1635,745万,"95,075元/平",2室2厅 , 78.36平米 , 南 北 , 简装 , 中楼层(共6层) ,静淑东里 
1636,1100万,"105,567元/平",3室1厅 , 104.2平米 , 西 北 , 其他 , 中楼层(共16层)  ,芙蓉里 
1637,2500万,"127,806元/平",5室2厅 , 195.61平米 , 南 北 , 简装 , 底层(共5层) ,专家国际花园 
1638,2999万,"155,389元/平",3室3厅 , 193平米 , 南 北 , 精装 , 底层(共5层) ,专家国际花园 
1639,1690万,"87,793元/平",4室2厅 , 192.5平米 , 南 北 , 精装 , 中楼层(共8层) ,燕尚园 
1640,710万,"94,667元/平",3室1厅 , 75平米 , 东北 , 精装 , 顶层(共16层) ,志强南园 
1641,2200万,"123,561元/平",3室2厅 , 178.05平米 , 南 北 , 精装 , 顶层(共25层) ,橡树湾四期 
1642,1510万,"129,982元/平",3室1厅 , 116.17平米 , 西 , 其他 , 中楼层(共18层) ,金尚嘉园 
1643,2150万,"133,202元/平",3室2厅 , 161.41平米 , 南 北 , 精装 , 9层 ,远洋风景 
1644,3445万,"139,984元/平",4室1厅 , 246.1平米 , 南 北 , 精装 , 顶层(共6层) ,长河湾 
1645,3200万,"79,606元/平",4室3厅 , 401.98平米 , 南 北 , 毛坯 , 3层 ,领秀新硅谷1号院 
1646,1350万,"83,457元/平",3室2厅 , 161.76平米 , 南 北 , 其他 , 中楼层(共28层) ,莲花小区 
1647,2680万,"125,563元/平",3室2厅 , 213.44平米 , 南 北 西 , 精装 , 23层 ,西钓鱼台嘉园 
1648,1450万,"75,161元/平",3室2厅 , 192.92平米 , 南 , 精装 , 中楼层(共15层) ,华清商务会馆 
1649,2680万,"125,563元/平",3室2厅 , 213.44平米 , 南 北 西 , 精装 , 23层 ,西钓鱼台嘉园 
1650,1450万,"75,161元/平",3室2厅 , 192.92平米 , 南 , 精装 , 中楼层(共15层) ,华清商务会馆 
1651,3000万,"117,138元/平",5室3厅 , 256.11平米 , 南 北 , 精装 , 中楼层(共14层) ,怡升园 
1652,1699万,"93,178元/平",3室2厅 , 182.34平米 , 南 北 , 精装 , 11层 ,北京印象 
1653,1380万,"70,162元/平",6室3厅 , 196.69平米 , 南 北 , 精装 , 高楼层(共6层) ,怡美家园 
1654,2800万,"110,686元/平",3室3厅 , 252.97平米 , 西南 东北 , 精装 , 26层 ,西钓鱼台嘉园 
1655,1350万,"113,066元/平",3室1厅 , 119.4平米 , 东 南 北 , 精装 , 顶层(共21层) ,西晴公寓 
1656,2310万,"98,106元/平",5室2厅 , 235.46平米 , 东 南 北 , 精装 , 顶层(共4层) ,博雅西园 
1657,3300万,"129,260元/平",4室2厅 , 255.3平米 , 南 西 北 , 精装 , 低楼层(共9层) ,如园 
1658,1760万,"86,001元/平",5室1厅 , 204.65平米 , 东 南 北 , 其他 , 顶层(共18层) ,太月园 
1659,4100万,"131,428元/平",5室2厅 , 311.96平米 , 南 北 , 精装 , 中楼层(共10层) ,如园 
1660,2050万,"96,118元/平",4室2厅 , 213.28平米 , 南 北 , 精装 , 中楼层(共4层) ,百旺茉莉园 
1661,2593万,"111,951元/平",6室1厅 , 231.62平米 , 南 北 , 精装 , 高楼层(共15层) ,瑞新里小区 
1662,1980万,"107,562元/平",3室2厅 , 184.08平米 , 南 北 , 精装 , 低楼层(共19层) ,世纪新景 
1663,3390万,"169,390元/平",4室2厅 , 200.13平米 , 南 北 , 精装 , 低楼层(共14层) ,碧水云天 
1664,1686万,"114,976元/平",4室2厅 , 146.64平米 , 西北 , 精装 , 中楼层(共20层) ,鑫德嘉园 
1665,2480万,"87,104元/平",4室2厅 , 284.72平米 , 南 北 , 精装 , 高楼层(共7层) ,金雅园南区 
1666,1960万,"96,662元/平",4室2厅 , 202.77平米 , 南 北 , 精装 , 顶层(共9层) ,定慧福里南区 
1667,2388万,"155,005元/平",4室2厅 , 154.06平米 , 东 , 精装 , 低楼层(共18层) ,锋尚国际 
1668,1575万,"118,645元/平",3室1厅 , 132.75平米 , 东南 , 精装 , 19层  ,今典花园 
1669,3100万,"105,192元/平",5室3厅 , 294.7平米 , 东 南 西 北 , 简装 , 3层  ,领秀新硅谷2号院 
1670,1746万,"109,888元/平",3室2厅 , 158.89平米 , 西南 , 简装 , 26层 ,人济山庄 
1671,1380万,"114,838元/平",3室1厅 , 120.17平米 , 南 北 , 简装 , 高楼层(共6层) ,怡丽南园 
1672,2300万,"145,506元/平",3室2厅 , 158.07平米 , 南 北 , 简装 , 高楼层(共13层) ,紫金长安 
1673,1880万,"109,411元/平",3室2厅 , 171.83平米 , 南 北 , 简装 , 中楼层(共5层) ,万科西山庭院 
1674,1260万,"88,230元/平",3室2厅 , 142.81平米 , 西南 , 精装 , 低楼层(共28层) ,莲花小区 
1675,1450万,"124,091元/平",4室2厅 , 116.85平米 , 东北 , 精装 , 底层(共18层)  ,怡秀园小区 
1676,3500万,"175,290元/平",4室2厅 , 199.67平米 , 南 北 , 精装 , 低楼层(共14层) ,碧水云天 
1677,1620万,"105,869元/平",3室2厅 , 153.02平米 , 南 北 , 精装 , 中楼层(共4层) ,西山美墅馆A区 
1678,1800万,"104,373元/平",3室1厅 , 172.46平米 , 南 北 , 简装 , 9层 ,北京印象 
1679,1960万,"96,662元/平",4室2厅 , 202.77平米 , 南 北 , 精装 , 顶层(共9层) ,定慧福里南区 
1680,2480万,"87,104元/平",4室2厅 , 284.72平米 , 南 北 , 精装 , 高楼层(共7层) ,金雅园南区 
1681,1800万,"104,373元/平",3室1厅 , 172.46平米 , 南 北 , 简装 , 9层 ,北京印象 
1682,925万,"74,621元/平",2室1厅 , 123.96平米 , 西 , 精装 , 底层(共12层) ,玉阜嘉园 
1683,847万,"113,952元/平",3室1厅 , 74.33平米 , 南 北 , 精装 , 底层(共6层)  ,十一教工楼 
1684,950万,"60,925元/平",3室1厅 , 155.93平米 , 东 北 , 简装 , 17层 ,百朗园 
1685,2880万,"126,483元/平",5室2厅 , 227.7平米 , 南 北 , 精装 , 高楼层(共12层) ,锦秋知春 
1686,1598万,"99,132元/平",4室3厅 , 161.2平米 , 东 南 西 北 , 精装 , 顶层(共6层) ,厂洼西街10号院 
1687,740万,"65,107元/平",3室2厅 , 113.66平米 , 南 北 , 精装 , 中楼层(共10层)  ,清缘里中区 
1688,2520万,"91,630元/平",4室2厅 , 275.02平米 , 南 北 , 精装 , 高楼层(共7层) ,金雅园南区 
1689,2490万,"88,036元/平",5室2厅 , 282.84平米 , 南 北 , 简装 , 顶层(共5层)  ,专家国际花园 
1690,2120万,"86,961元/平",5室3厅 , 243.79平米 , 南 北 , 精装 , 顶层(共9层)  ,香溪度 
1691,2998万,"107,947元/平",5室2厅 , 277.73平米 , 南 西 , 精装 , 6层 ,郦城二区 
1692,3300万,"138,226元/平",4室2厅 , 238.74平米 , 南 北 , 精装 , 2层 ,雪梨澳乡A区 
1693,3380万,"132,156元/平",4室3厅 , 255.76平米 , 南 北 , 精装 , 中楼层(共9层) ,如园 
1694,4988万,"112,966元/平",4室2厅 , 441.55平米 , 南 北 , 精装 , 11层 ,紫御府 
1695,1588万,"122,465元/平",3室1厅 , 129.67平米 , 西南 , 其他 , 低楼层(共19层)  ,时雨园 
1696,3350万,"89,594元/平",6室3厅 , 373.91平米 , 南 北 , 精装 , 顶层(共19层) ,10号名邸 
1697,2688万,"143,636元/平",3室2厅 , 187.14平米 , 南 北 , 精装 , 中楼层(共16层)  ,橡树湾五期 
1698,1062万,"86,907元/平",3室1厅 , 122.2平米 , 南 , 精装 , 高楼层(共20层)  ,希格玛公寓 
1699,2100万,"118,217元/平",3室2厅 , 177.64平米 , 南 北 , 其他 , 高楼层(共25层) ,橡树湾四期 
1700,2180万,"130,853元/平",4室2厅 , 166.6平米 , 南 北 , 精装 , 顶层(共5层)  ,颐慧佳园B区 
1701,3900万,"137,576元/平",4室3厅 , 283.48平米 , 南 北 , 精装 , 5层 ,褐石 
1702,8500万,"107,863元/平",10室3厅 , 788.04平米 , 东 南 北 , 精装 , 22层 ,西钓鱼台嘉园 
1703,1420万,"108,348元/平",3室2厅 , 131.06平米 , 南 , 其他 , 高楼层(共27层) ,富润家园 
1704,2750万,"133,373元/平",3室2厅 , 206.19平米 , 南 北 , 精装 , 低楼层(共22层)  ,橡树湾五期 
1705,1500万,"145,434元/平",4室2厅 , 103.14平米 , 南 北 , 简装 , 顶层(共6层) ,厢白旗甲2号院 
1706,2600万,"133,690元/平",4室2厅 , 194.48平米 , 南 北 , 精装 , 13层 ,远洋风景 
1707,2550万,"85,402元/平",6室2厅 , 298.59平米 , 南 北 , 精装 , 底层(共7层)  ,颐源居小区 
1708,4180万,"128,245元/平",5室2厅 , 325.94平米 , 南 北 , 精装 , 3层 ,雪梨澳乡D区 
1709,2750万,"133,373元/平",3室2厅 , 206.19平米 , 南 北 , 精装 , 低楼层(共22层)  ,橡树湾五期 
1710,1062万,"86,907元/平",3室1厅 , 122.2平米 , 南 , 精装 , 高楼层(共20层)  ,希格玛公寓 
1711,2180万,"130,853元/平",4室2厅 , 166.6平米 , 南 北 , 精装 , 顶层(共5层)  ,颐慧佳园B区 
1712,3350万,"89,594元/平",6室3厅 , 373.91平米 , 南 北 , 精装 , 顶层(共19层) ,10号名邸 
1713,1485万,"58,787元/平",4室2厅 , 252.61平米 , 南 北 , 精装 , 顶层(共6层) ,北辰香麓 
1714,3900万,"137,576元/平",4室3厅 , 283.48平米 , 南 北 , 精装 , 5层 ,褐石 
1715,4988万,"112,966元/平",4室2厅 , 441.55平米 , 南 北 , 精装 , 11层 ,紫御府 
1716,1290万,"84,414元/平",3室2厅 , 152.82平米 , 南 北 , 精装 , 中楼层(共28层) ,燕清源 
1717,1280万,"87,714元/平",3室2厅 , 145.93平米 , 南 北 , 精装 , 高楼层(共28层)  ,燕清源 
1718,2170万,"155,701元/平",8室4厅 , 139.37平米 , 南 北 , 精装 , 底层(共10层) ,大苑海淀名著 
1719,765万,"68,304元/平",3室2厅 , 112平米 , 东 西 , 简装 , 顶层(共6层) ,玉海园三里 
1720,2450万,"141,750元/平",3室1厅 , 172.84平米 , 南 北 , 简装 , 中楼层(共11层) ,观山园 
1721,920万,"44,261元/平",4室2厅 , 207.86平米 , 东北 , 简装 , 低楼层(共21层) ,沁春家园 
1722,6500万,"101,236元/平",7室3厅 , 642.07平米 , 南 西 北 , 精装 , 6层 ,西山壹号院 
1723,975万,"78,094元/平",3室2厅 , 124.85平米 , 南 北 , 精装 , 高楼层(共7层) ,观澳园 
1724,2500万,"149,424元/平",4室2厅 , 167.31平米 , 南 北 , 精装 , 2层  ,雪梨澳乡E区 
1725,780万,"112,279元/平",3室1厅 , 69.47平米 , 南 北 , 精装 , 顶层(共6层)  ,永泰园 
1726,999万,"65,222元/平",4室3厅 , 153.17平米 , 南 北 , 简装 , 高楼层(共7层) ,怡美家园 
1727,1198万,"83,555元/平",4室1厅 , 143.38平米 , 南 北 , 精装 , 高楼层(共24层) ,静淑东里 
1728,2200万,"119,481元/平",3室2厅 , 184.13平米 , 南 北 , 精装 , 中楼层(共17层) ,冠城北园 
1729,1298万,"91,803元/平",3室2厅 , 141.39平米 , 南 北 , 简装 , 中楼层(共11层) ,领秀新硅谷1号院 
1730,4500万,"142,541元/平",5室3厅 , 315.7平米 , 东 南 北 , 精装 , 高楼层(共9层) ,如园 
1731,1530万,"167,415元/平",2室2厅 , 91.39平米 , 南 , 其他 , 顶层(共12层) ,晴雪园 
1732,1625万,"106,558元/平",4室2厅 , 152.5平米 , 东 南 , 精装 , 中楼层(共27层) ,富润家园 
1733,3100万,"171,946元/平",5室3厅 , 180.29平米 , 南 北 , 精装 , 底层(共6层) ,橡树湾二期 
1734,1250万,"97,254元/平",3室2厅 , 128.53平米 , 东南 , 其他 , 低楼层(共28层) ,莲花小区 
1735,1300万,"93,796元/平",3室2厅 , 138.6平米 , 东 南 北 , 精装 , 底层(共4层) ,皂君东里 
1736,1470万,"114,755元/平",3室1厅 , 128.1平米 , 西南 西 , 精装 , 23层  ,今典花园 
1737,1580万,"93,975元/平",3室2厅 , 168.13平米 , 南 北 , 精装 , 底层(共5层)  ,万寿路西街9号 
1738,2259万,"153,967元/平",5室3厅 , 146.72平米 , 南 北 , 精装 , 顶层(共11层)  ,橡树湾二期 
1739,1480万,"98,066元/平",3室2厅 , 150.92平米 , 南 北 , 精装 , 低楼层(共7层) ,西山公馆 
1740,2300万,"110,994元/平",4室2厅 , 207.22平米 , 东南 , 精装 , 顶层(共18层) ,垂虹园 
1741,2600万,"90,404元/平",3室2厅 , 287.6平米 , 南 北 , 精装 , 底层(共10层)  ,如园 
1742,1450万,"103,042元/平",3室2厅 , 140.72平米 , 东南 , 简装 , 中楼层(共16层) ,庚坊国际 
1743,1820万,"87,923元/平",3室1厅 , 207平米 , 南 北 , 其他 , 中楼层(共20层) ,10号名邸 
1744,2850万,"175,170元/平",3室2厅 , 162.7平米 , 南 北 , 精装 , 低楼层(共12层) ,碧水云天 
1745,828万,"99,663元/平",4室2厅 , 83.08平米 , 南 北 , 精装 , 高楼层(共7层) ,永定路西里 
1746,1860万,"104,766元/平",3室2厅 , 177.54平米 , 南 北 , 精装 , 12层 ,恒盛欧洲公馆 
1747,2500万,"84,266元/平",3室2厅 , 296.68平米 , 南 北 , 其他 , 3层 ,领秀新硅谷1号院 
1748,1700万,"93,177元/平",4室2厅 , 182.45平米 , 北 南 , 精装 , 底层(共4层) ,领秀硅谷 
1749,4800万,"167,827元/平",6室2厅 , 286.01平米 , 南 北 , 精装 , 顶层(共6层) ,万泉新新家园 
1750,3850万,"163,566元/平",4室2厅 , 235.38平米 , 南 北 , 精装 , 中楼层(共5层) ,万泉新新家园 
1751,5988万,"171,798元/平",3室2厅 , 348.55平米 , 南 西 北 , 精装 , 低楼层(共13层) ,钓鱼台7号院 
1752,1922万,"89,961元/平",4室2厅 , 213.65平米 , 南 北 , 精装 , 低楼层(共3层) ,名仕花园 
1753,4500万,"107,643元/平",4室2厅 , 418.05平米 , 南 北 , 精装 , 低楼层(共23层) ,缘溪堂 
1754,9900万,"179,677元/平",5室2厅 , 550.99平米 , 南 北 东 , 精装 , 3层  ,万城华府 
1755,930万,"60,876元/平",4室2厅 , 152.77平米 , 南 北 , 精装 , 顶层(共5层)  ,京泉馨苑 
1756,1500万,"83,209元/平",3室2厅 , 180.27平米 , 南 北 , 精装 , 12层 ,恒盛欧洲公馆 
1757,1800万,"125,515元/平",3室1厅 , 143.41平米 , 东北 , 简装 , 高楼层(共24层) ,国兴家园 
1758,2120万,"95,604元/平",4室2厅 , 221.75平米 , 南 北 , 精装 , 低楼层(共8层) ,西山华府 
1759,2700万,"133,922元/平",3室2厅 , 201.61平米 , 南 北 , 其他 , 6层 ,西山壹号院 
1760,1530万,"111,974元/平",4室2厅 , 136.64平米 , 南 北 , 简装 , 低楼层(共12层) ,亮丽园 
1761,1180万,"77,074元/平",3室2厅 , 153.1平米 , 东 南 北 , 精装 , 高楼层(共21层) ,力度家园 
1762,3300万,"84,989元/平",4室3厅 , 388.29平米 , 南 西 北 , 精装 , 底层(共9层)  ,如园 
1763,1660万,"66,858元/平",4室2厅 , 248.29平米 , 南 北 , 精装 , 底层(共6层) ,北辰香麓 
1764,2400万,"110,804元/平",5室5厅 , 216.6平米 , 南 北 , 精装 , 3层 ,雪梨澳乡A区 
1765,2000万,"100,711元/平",4室2厅 , 198.59平米 , 南 西 北 , 简装 , 顶层(共4层) ,万科西山庭院 
1766,950万,"107,031元/平",3室1厅 , 88.76平米 , 南 北 , 精装 , 中楼层(共6层) ,领秀新硅谷1号院 
1767,1930万,"113,952元/平",3室2厅 , 169.37平米 , 南 北 , 精装 , 低楼层(共20层)  ,橡树湾四期 
1768,2478万,"121,073元/平",4室1厅 , 204.67平米 , 南 北 , 精装 , 12层 ,恒盛欧洲公馆 
1769,1750万,"87,026元/平",3室2厅 , 201.09平米 , 东 南 , 精装 , 中楼层(共26层)  ,太月园 
1770,1290万,"68,804元/平",5室3厅 , 187.49平米 , 南 北 , 精装 , 高楼层(共6层)  ,怡美家园 
1771,745万,"58,318元/平",3室2厅 , 127.75平米 , 南 北 , 其他 , 顶层(共6层) ,沁春家园 
1772,2999万,"114,676元/平",4室3厅 , 261.52平米 , 北 南 , 精装 , 低楼层(共11层) ,如园 
1773,1960万,"96,065元/平",6室1厅 , 204.03平米 , 南 北 , 简装 , 中楼层(共4层) ,金隅山墅 
1774,735万,"55,996元/平",3室2厅 , 131.26平米 , 南 北 , 简装 , 顶层(共6层) ,沁春家园 
1775,2740万,"121,395元/平",5室2厅 , 225.71平米 , 南 北 , 精装 , 中楼层(共22层) ,天兆家园 
1776,1580万,"74,836元/平",5室3厅 , 211.13平米 , 南 北 , 简装 , 顶层(共6层)  ,定慧北里 
1777,2100万,"124,748元/平",3室2厅 , 168.34平米 , 南 西 北 , 简装 , 顶层(共9层) ,春荫园 
1778,1290万,"90,826元/平",4室1厅 , 142.03平米 , 南 北 , 其他 , 中楼层(共17层) ,望河园 
1779,1780万,"111,146元/平",3室2厅 , 160.15平米 , 南 北 , 精装 , 低楼层(共20层) ,橡树湾三期 
1780,865万,"63,580元/平",3室2厅 , 136.05平米 , 南 北 , 其他 , 顶层(共6层) ,玉海园三里 
1781,5600万,"179,511元/平",5室2厅 , 311.96平米 , 南 北 , 其他 , 中楼层(共5层) ,万泉新新家园 
1782,1350万,"77,007元/平",3室1厅 , 175.31平米 , 南 北 , 其他 , 高楼层(共21层) ,清上园 
1783,2150万,"103,074元/平",5室2厅 , 208.59平米 , 南 北 , 简装 , 高楼层(共7层)  ,文慧园北路甲6号院 
1784,2201万,"177,830元/平",3室2厅 , 123.77平米 , 东南 , 简装 , 中楼层(共16层) ,碧水云天 
1785,1233万,"89,039元/平",3室2厅 , 138.48平米 , 南 北 , 其他 , 中楼层(共12层) ,丹青府 
1786,2750万,"122,304元/平",4室2厅 , 224.85平米 , 南 北 , 精装 , 底层(共3层) ,金隅山墅 
1787,2620万,"121,912元/平",4室2厅 , 214.91平米 , 南 北 , 精装 , 顶层(共11层) ,如园 
1788,1200万,"69,947元/平",9室2厅 , 171.56平米 , 南 北 , 简装 , 顶层(共5层)  ,京泉馨苑 
1789,1250万,"90,266元/平",3室2厅 , 138.48平米 , 南 北 , 精装 , 高楼层(共12层) ,丹青府 
1790,820万,"61,548元/平",3室2厅 , 133.23平米 , 西 , 精装 , 中楼层(共31层) ,永泰园新地标 
1791,2600万,"86,902元/平",6室2厅 , 299.19平米 , 南 , 精装 , 低楼层(共18层)  ,新起点嘉园 
1792,4500万,"172,118元/平",4室2厅 , 261.45平米 , 南 西 北 , 精装 , 中楼层(共7层) ,万泉新新家园 
1793,820万,"83,871元/平",3室2厅 , 97.77平米 , 南 北 , 精装 , 顶层(共9层)  ,正源尚峰尚水 
1794,1320万,"113,735元/平",2室1厅 , 116.06平米 , 南 北 , 精装 , 12层  ,郦城二区 
1795,980万,"78,419元/平",3室1厅 , 124.97平米 , 南 北 , 精装 , 中楼层(共7层) ,观澳园 
1796,3050万,"105,676元/平",4室3厅 , 288.62平米 , 南 北 , 精装 , 低楼层(共10层) ,如园 
1797,1060万,"87,989元/平",3室2厅 , 120.47平米 , 南 北 , 精装 , 底层(共10层) ,领秀硅谷 
1798,2100万,"98,592元/平",4室2厅 , 213平米 , 南 北 , 精装 , 25层  ,首创天阅西山 
1799,1900万,"101,926元/平",4室2厅 , 186.41平米 , 东南 , 简装 , 低楼层(共16层) ,远大园五区 
1800,3050万,"105,676元/平",4室3厅 , 288.62平米 , 南 北 , 精装 , 低楼层(共10层) ,如园 
1801,1850万,"103,047元/平",3室2厅 , 179.53平米 , 南 北 , 简装 , 底层(共5层)  ,百旺茉莉园 
1802,1960万,"94,696元/平",4室2厅 , 206.98平米 , 东 南 北 , 精装 , 顶层(共26层) ,太月园 
1803,2350万,"113,407元/平",4室2厅 , 207.22平米 , 西南 , 精装 , 中楼层(共18层) ,垂虹园 
1804,2296万,"85,974元/平",4室2厅 , 267.06平米 , 东南 西 , 简装 , 低楼层(共20层) ,新起点嘉园 
1805,5127万,"179,870元/平",5室2厅 , 285.04平米 , 南 北 , 精装 , 顶层(共14层) ,涧桥泊屋 
1806,895万,"99,016元/平",2室2厅 , 90.39平米 , 西南 , 精装 , 25层 ,今典花园 
1807,4260万,"135,282元/平",5室2厅 , 314.9平米 , 南 北 , 精装 , 中楼层(共10层) ,如园 
1808,1440万,"104,523元/平",3室2厅 , 137.77平米 , 南 北 , 精装 , 低楼层(共12层) ,亮丽园 
1809,1360万,"100,037元/平",3室2厅 , 135.95平米 , 南 北 , 精装 , 中楼层(共7层) ,天秀花园古月园 
1810,1470万,"104,567元/平",3室2厅 , 140.58平米 , 南 北 , 简装 , 底层(共5层) ,百旺家苑 
1811,2100万,"99,494元/平",6室2厅 , 211.07平米 , 南 西 北 , 精装 , 中楼层(共5层) ,百旺家苑 
1812,9600万,"176,568元/平",4室1厅 , 543.7平米 , 南 北 , 精装 , 3层  ,万城华府 
1813,2218万,"84,796元/平",4室3厅 , 261.57平米 , 南 北 , 简装 , 3层 ,领秀硅谷 
1814,1460万,"98,603元/平",3室1厅 , 148.07平米 , 东南 , 精装 , 中楼层(共27层) ,富润家园 
1815,1850万,"112,101元/平",3室2厅 , 165.03平米 , 南 北 , 其他 , 高楼层(共9层)  ,百旺家苑 
1816,1400万,"126,468元/平",3室2厅 , 110.7平米 , 南 西 北 , 简装 , 高楼层(共18层)  ,有色金属院 
1817,2320万,"102,361元/平",4室2厅 , 226.65平米 , 南 北 , 精装 , 中楼层(共4层) ,玲珑花园 
1818,1200万,"94,340元/平",3室1厅 , 127.2平米 , 南 , 精装 , 底层(共22层) ,紫金庄园 
1819,1850万,"79,557元/平",5室3厅 , 232.54平米 , 东南 , 精装 , 顶层(共9层) ,碧森里 
1820,3180万,"113,572元/平",3室2厅 , 280平米 , 南 北 , 精装 , 6层 ,西山壹号院 
1821,1680万,"86,683元/平",4室2厅 , 193.81平米 , 南 北 , 精装 , 底层(共11层) ,当代城市家园 
1822,1950万,"76,742元/平",5室2厅 , 254.1平米 , 东 西 , 精装 , 中楼层(共22层)  ,紫金庄园 
1823,2820万,"105,334元/平",5室2厅 , 267.72平米 , 南 北 , 精装 , 中楼层(共6层) ,郦城三区 
1824,3380万,"133,497元/平",4室2厅 , 253.19平米 , 南 北 , 精装 , 中楼层(共10层)  ,如园 
