地铁,总价,单价,建筑面积,室,厅,毛坯,简装,精装,东,东北,东南,南,西,西北,西南,中楼层,低楼层,地下室,底层,顶层,高楼层
1.0,650.0,75908.0,85.63,2.0,1.0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
0.0,580.0,112143.0,51.72,2.0,1.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
1.0,750.0,100672.0,74.5,3.0,1.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
0.0,573.0,103561.0,55.33,1.0,1.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
0.0,724.0,75339.0,96.1,2.0,2.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,435.0,78805.0,55.2,2.0,1.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0
1.0,799.0,99255.0,80.5,2.0,1.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
0.0,408.0,71831.0,56.8,2.0,1.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
1.0,495.0,111236.0,44.5,1.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,938.0,108830.0,86.19,3.0,1.0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
0.0,880.0,89888.0,97.9,2.0,1.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0
1.0,645.0,99970.0,64.52,3.0,1.0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,563.0,92905.0,60.6,1.0,1.0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0
0.0,1600.0,103293.0,154.9,3.0,1.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
1.0,998.0,108420.0,92.05,2.0,2.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1
1.0,1020.0,80741.0,126.33,2.0,1.0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0
1.0,660.0,87072.0,75.8,3.0,1.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0
0.0,925.0,91612.0,100.97,2.0,1.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0
0.0,460.0,114144.0,40.3,1.0,1.0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
0.0,748.0,172669.0,43.32,1.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0
0.0,836.0,90516.0,92.36,2.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
0.0,485.0,82906.0,58.5,2.0,1.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,880.0,100710.0,87.38,2.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
0.0,735.0,84348.0,87.14,2.0,1.0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
1.0,443.0,103529.0,42.79,1.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0
0.0,912.0,64086.0,142.31,3.0,2.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0
1.0,510.0,85342.0,59.76,2.0,1.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0
1.0,730.0,105340.0,69.3,3.0,1.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,889.0,68123.0,130.5,3.0,2.0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1.0,815.0,105845.0,77.0,2.0,1.0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
0.0,1180.0,88417.0,133.46,3.0,1.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,475.0,103509.0,45.89,1.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0
0.0,369.0,52259.0,70.61,1.0,1.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,1035.0,70944.0,145.89,3.0,2.0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
1.0,695.0,101757.0,68.3,2.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0
1.0,525.0,95803.0,54.8,2.0,1.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0
0.0,465.0,77877.0,59.71,2.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
1.0,665.0,79594.0,83.55,2.0,1.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
1.0,760.0,88403.0,85.97,2.0,2.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,735.0,73648.0,99.8,2.0,1.0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
0.0,448.0,88189.0,50.8,2.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
1.0,596.0,86315.0,69.05,3.0,1.0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0
0.0,800.0,95239.0,84.0,3.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
1.0,755.0,109899.0,68.7,2.0,1.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1
0.0,565.0,87165.0,64.82,2.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
0.0,610.0,99837.0,61.1,2.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0
0.0,1550.0,143812.0,107.78,3.0,1.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0
